Sample;X(ms) [22.03.2026 15:55:44 279 UTC];"Int_R_deseado[%MD70]";"Int_R_Real[%MD74]";"Int_G120[%MD58]";"Int_ST_FC11[%MD78]";"FT10_Int[%MD22]";"FT11_Int[%MD26]"
470;1774194991370,024288;250;0;15001;7057;28397;-12
471;1774194991470,016120;250;0;15151;7099;28562;-12
472;1774194991570,025440;250;0;15300;7140;28730;-14
473;1774194991670,021904;250;-1;15499;7182;28730;-12
474;1774194991770,016088;250;0;15527;7182;28892;-12
475;1774194991870,015976;250;0;15681;7223;29048;-12
476;1774194991970,021104;250;0;15832;7262;29201;-12
477;1774194992070,027304;250;0;15981;7300;29201;-12
478;1774194992170,025344;250;0;16074;7300;29355;-9
479;1774194992270,026416;250;0;16175;7339;29497;-12
480;1774194992370,021848;250;0;16381;7374;29638;-12
481;1774194992470,029792;250;0;16521;7410;29638;-12
482;1774194992570,026160;250;0;16612;7410;29766;-14
483;1774194992670,025144;250;0;16797;7441;29899;-12
484;1774194992770,017320;250;0;16875;7475;30029;-12
485;1774194992870,016184;250;0;17020;7507;30029;-12
